,customerkey,orderdate,firstname,lastname
0,28866,2013-04-28,Aaron,Adams
1,12650,2013-06-12,Aaron,Wright
2,24947,2013-06-02,Aaron,Phillips
3,12067,2013-04-24,Aaron,Bryant
4,21240,2013-03-20,Aaron,Jenkins
5,12067,2013-04-24,Aaron,Bryant
6,21240,2013-03-20,Aaron,Jenkins
7,13195,2013-04-09,Aaron,Perry
8,13195,2013-04-09,Aaron,Perry
9,22768,2013-04-19,Aaron,Zhang
10,22768,2013-04-19,Aaron,Zhang
11,22768,2013-04-19,Aaron,Zhang
12,22768,2013-04-19,Aaron,Zhang
13,24947,2013-06-02,Aaron,Phillips
14,11739,2013-04-16,Aaron,King
15,11888,2013-03-18,Aaron,Ross
16,11888,2013-03-18,Aaron,Ross
17,19692,2013-06-02,Aaron,Edwards
18,25241,2013-06-19,Aaron,Powell
19,19113,2013-06-22,Aaron,Patterson
20,19113,2013-06-22,Aaron,Patterson
21,19113,2013-06-22,Aaron,Patterson
22,19113,2013-06-22,Aaron,Patterson
23,11739,2013-04-16,Aaron,King
24,11739,2013-04-16,Aaron,King
25,19025,2013-03-14,Aaron,Roberts
26,19025,2013-03-14,Aaron,Roberts
27,12650,2013-06-12,Aaron,Wright
28,12650,2013-06-12,Aaron,Wright
29,12650,2013-06-12,Aaron,Wright
30,23791,2013-06-30,Aaron,Griffin
31,23791,2013-06-30,Aaron,Griffin
32,24953,2013-06-13,Aaron,Green
33,12163,2013-03-04,Aaron,Wang
34,24953,2013-06-13,Aaron,Green
35,12163,2013-03-04,Aaron,Wang
36,23791,2013-06-30,Aaron,Griffin
37,12163,2013-03-04,Aaron,Wang
38,26608,2013-06-23,Aaron,Nelson
39,11739,2013-01-13,Aaron,King
40,11739,2013-01-13,Aaron,King
41,11739,2013-01-13,Aaron,King
42,12650,2013-06-12,Aaron,Wright
43,26608,2013-06-23,Aaron,Nelson
44,26608,2013-06-23,Aaron,Nelson
45,26608,2013-06-23,Aaron,Nelson
46,19692,2013-06-02,Aaron,Edwards
47,25415,2013-06-11,Aaron,Evans
48,25415,2013-06-11,Aaron,Evans
49,18695,2013-03-25,Aaron,Diaz
50,18695,2013-03-25,Aaron,Diaz
51,12050,2013-02-06,Aaron,Young
52,25818,2013-04-23,Aaron,Hill
53,12050,2013-02-06,Aaron,Young
54,12050,2013-02-06,Aaron,Young
55,12050,2013-02-06,Aaron,Young
56,12050,2013-02-06,Aaron,Young
57,25818,2013-04-23,Aaron,Hill
58,25818,2013-04-23,Aaron,Hill
59,28866,2013-04-28,Aaron,Adams
60,25415,2013-06-11,Aaron,Evans
61,25415,2013-06-11,Aaron,Evans
62,22165,2013-05-18,Aaron,Perez
63,22165,2013-05-18,Aaron,Perez
64,22165,2013-05-18,Aaron,Perez
65,28866,2013-04-28,Aaron,Adams
66,24649,2013-06-04,Aaron,Washington
67,13891,2013-05-07,Aaron,Simmons
68,13891,2013-05-07,Aaron,Simmons
69,27246,2013-05-14,Aaron,Hall
70,27734,2013-06-05,Aaron,McDonald
71,27734,2013-06-05,Aaron,McDonald
72,12650,2013-06-25,Aaron,Wright
73,11888,2013-03-18,Aaron,Ross
74,20730,2013-06-03,Aaron,Shan
75,12650,2013-06-20,Aaron,Wright
76,12650,2013-06-20,Aaron,Wright
77,20730,2013-06-03,Aaron,Shan
78,20730,2013-06-03,Aaron,Shan
79,28866,2013-04-28,Aaron,Adams
80,29333,2013-03-08,Abby,Martinez
81,26948,2013-06-09,Abby,Garcia
82,29333,2013-03-08,Abby,Martinez
83,19966,2013-06-07,Abby,Sanchez
84,25605,2013-01-13,Abby,Kovár
85,25605,2013-01-13,Abby,Kovár
86,11101,2013-01-26,Abby,Sai
87,25605,2013-01-13,Abby,Kovár
88,26948,2013-06-09,Abby,Garcia
89,13256,2013-04-10,Abby,Subram
90,13256,2013-04-10,Abby,Subram
91,22179,2013-06-15,Abby,Mehta
92,13256,2013-04-10,Abby,Subram
93,13256,2013-04-10,Abby,Subram
94,26948,2013-06-09,Abby,Garcia
95,13256,2013-03-24,Abby,Subram
96,13256,2013-03-24,Abby,Subram
97,13256,2013-03-24,Abby,Subram
98,25605,2013-01-13,Abby,Kovár
99,29054,2013-06-16,Abby,Kapoor
100,13256,2013-03-24,Abby,Subram
101,16195,2013-05-22,Abby,Perez
102,16195,2013-05-22,Abby,Perez
103,29054,2013-06-16,Abby,Kapoor
104,11101,2013-06-29,Abby,Sai
105,11101,2013-06-29,Abby,Sai
106,16195,2013-05-22,Abby,Perez
107,11101,2013-06-29,Abby,Sai
108,11101,2013-06-29,Abby,Sai
109,11101,2013-01-26,Abby,Sai
110,26507,2013-06-02,Abhijit,Thakur
111,26507,2013-06-02,Abhijit,Thakur
112,19405,2013-02-09,Abigail,Smith
113,12169,2013-03-18,Abigail,Howard
114,11681,2013-03-07,Abigail,Jones
115,11681,2013-03-07,Abigail,Jones
116,14531,2013-03-28,Abigail,Garcia
117,21701,2013-06-08,Abigail,Sanders
118,13914,2013-04-26,Abigail,Bell
119,12169,2013-03-18,Abigail,Howard
120,12169,2013-03-18,Abigail,Howard
121,15866,2013-03-14,Abigail,White
122,22042,2013-03-18,Abigail,Bryant
123,14717,2013-05-09,Abigail,Rivera
124,24497,2013-02-04,Abigail,James
125,17389,2013-06-05,Abigail,Butler
126,13914,2013-04-26,Abigail,Bell
127,14478,2013-06-09,Abigail,Patterson
128,14717,2013-05-09,Abigail,Rivera
129,14717,2013-05-09,Abigail,Rivera
130,24930,2013-02-12,Abigail,Lewis
131,24930,2013-02-12,Abigail,Lewis
132,14717,2013-05-09,Abigail,Rivera
133,24930,2013-02-12,Abigail,Lewis
134,12169,2013-03-18,Abigail,Howard
135,24431,2013-05-12,Abigail,Morgan
136,21701,2013-06-08,Abigail,Sanders
137,24497,2013-02-04,Abigail,James
138,23672,2013-06-08,Abigail,Flores
139,24497,2013-02-04,Abigail,James
140,21701,2013-06-08,Abigail,Sanders
141,11811,2013-06-17,Abigail,Brooks
142,21701,2013-06-08,Abigail,Sanders
143,28300,2013-04-11,Abigail,Bennett
144,12105,2013-03-04,Abigail,Foster
145,27466,2013-06-09,Abigail,Murphy
146,15866,2013-03-14,Abigail,White
147,15866,2013-03-14,Abigail,White
148,22888,2013-04-26,Abigail,Long
149,15903,2013-06-05,Abigail,Barnes
150,15903,2013-06-05,Abigail,Barnes
151,14531,2013-03-28,Abigail,Garcia
152,14531,2013-03-28,Abigail,Garcia
153,15903,2013-06-05,Abigail,Barnes
154,15859,2013-04-22,Abigail,Ramirez
155,12105,2013-03-04,Abigail,Foster
156,15903,2013-06-05,Abigail,Barnes
157,22301,2013-02-06,Abigail,Rodriguez
158,19122,2013-04-03,Abigail,Hughes
159,19122,2013-04-03,Abigail,Hughes
160,19122,2013-04-03,Abigail,Hughes
161,18675,2013-04-14,Abigail,Martin
162,24431,2013-05-12,Abigail,Morgan
163,14531,2013-02-24,Abigail,Garcia
164,14531,2013-02-24,Abigail,Garcia
165,14531,2013-02-24,Abigail,Garcia
166,19122,2013-04-03,Abigail,Hughes
167,27466,2013-06-09,Abigail,Murphy
168,18675,2013-04-14,Abigail,Martin
169,14717,2013-03-13,Abigail,Rivera
170,14531,2013-02-24,Abigail,Garcia
171,18675,2013-04-14,Abigail,Martin
172,16894,2013-03-07,Abigail,Walker
173,27466,2013-06-09,Abigail,Murphy
174,15859,2013-04-22,Abigail,Ramirez
175,17389,2013-06-05,Abigail,Butler
176,16894,2013-03-07,Abigail,Walker
177,24431,2013-05-12,Abigail,Morgan
178,14478,2013-06-09,Abigail,Patterson
179,24223,2013-04-06,Abigail,Alexander
180,16894,2013-03-07,Abigail,Walker
181,17389,2013-06-05,Abigail,Butler
182,19405,2013-02-09,Abigail,Smith
183,24223,2013-04-06,Abigail,Alexander
184,12197,2013-05-07,Adam,Hernandez
185,18740,2013-03-11,Adam,Hill
186,25820,2013-02-11,Adam,Evans
187,25820,2013-02-11,Adam,Evans
188,12984,2013-02-03,Adam,Young
189,12984,2013-02-03,Adam,Young
190,12197,2013-05-07,Adam,Hernandez
191,25820,2013-02-11,Adam,Evans
192,24546,2013-04-15,Adam,Hughes
193,24546,2013-04-15,Adam,Hughes
194,24546,2013-04-15,Adam,Hughes
195,16804,2013-01-15,Adam,Zhang
196,16804,2013-01-15,Adam,Zhang
197,16804,2013-01-15,Adam,Zhang
198,15863,2013-06-28,Adam,Scott
199,15863,2013-06-28,Adam,Scott
200,15863,2013-06-28,Adam,Scott
201,12984,2013-05-23,Adam,Young
202,12984,2013-05-23,Adam,Young
203,12984,2013-05-23,Adam,Young
204,12948,2013-02-14,Adam,Kumar
205,12948,2013-02-14,Adam,Kumar
206,18170,2013-03-08,Adam,Perez
207,18170,2013-03-08,Adam,Perez
208,26349,2013-04-02,Adam,Lopez
209,19696,2013-06-02,Adam,Patterson
210,19696,2013-06-02,Adam,Patterson
211,12984,2013-03-26,Adam,Young
212,12984,2013-03-26,Adam,Young
213,19696,2013-06-02,Adam,Patterson
214,19696,2013-06-02,Adam,Patterson
215,12984,2013-03-26,Adam,Young
216,25327,2013-06-21,Adam,Simmons
217,11099,2013-03-06,Adam,Ross
218,11099,2013-03-06,Adam,Ross
219,11099,2013-03-06,Adam,Ross
220,11099,2013-03-06,Adam,Ross
221,17040,2013-05-26,Adam,Henderson
222,24414,2013-01-20,Adam,Edwards
223,17040,2013-05-26,Adam,Henderson
224,24414,2013-01-20,Adam,Edwards
225,17040,2013-05-26,Adam,Henderson
226,24414,2013-01-20,Adam,Edwards
227,21400,2013-05-19,Adam,Campbell
228,21400,2013-05-19,Adam,Campbell
229,21400,2013-05-19,Adam,Campbell
230,21400,2013-05-19,Adam,Campbell
231,12197,2013-02-01,Adam,Hernandez
232,26349,2013-04-02,Adam,Lopez
233,21340,2013-05-09,Adam,Wang
234,21340,2013-05-09,Adam,Wang
235,21340,2013-05-09,Adam,Wang
236,22274,2013-01-21,Adam,Chen
237,22274,2013-01-21,Adam,Chen
238,15863,2013-04-06,Adam,Scott
239,15863,2013-04-06,Adam,Scott
240,15863,2013-04-06,Adam,Scott
241,13069,2013-04-06,Adam,Green
242,13069,2013-04-06,Adam,Green
243,13877,2013-02-27,Adam,Lal
244,13877,2013-02-27,Adam,Lal
245,13877,2013-02-27,Adam,Lal
246,16932,2013-06-29,Adam,King
247,16932,2013-06-29,Adam,King
248,18740,2013-03-11,Adam,Hill
249,13179,2013-04-15,Adrian,Sanchez
250,25339,2013-03-19,Adrian,Rivera
251,25339,2013-03-19,Adrian,Rivera
252,13984,2013-03-09,Adrian,Richardson
253,19534,2013-02-07,Adrian,Torres
254,13641,2013-06-07,Adrian,Watson
255,19534,2013-02-07,Adrian,Torres
256,19534,2013-02-07,Adrian,Torres
257,13179,2013-04-15,Adrian,Sanchez
258,13179,2013-04-15,Adrian,Sanchez
259,15092,2013-04-18,Adrian,Morris
260,15092,2013-04-18,Adrian,Morris
261,13984,2013-03-09,Adrian,Richardson
262,13641,2013-06-07,Adrian,Watson
263,13641,2013-03-17,Adrian,Watson
264,13641,2013-03-17,Adrian,Watson
265,13641,2013-03-17,Adrian,Watson
266,13641,2013-03-17,Adrian,Watson
267,23787,2013-03-25,Adrian,Ward
268,23787,2013-03-25,Adrian,Ward
269,12152,2013-03-07,Adrian,Ramirez
270,12152,2013-03-07,Adrian,Ramirez
271,12152,2013-03-07,Adrian,Ramirez
272,23787,2013-03-25,Adrian,Ward
273,12152,2013-03-07,Adrian,Ramirez
274,13179,2013-04-15,Adrian,Sanchez
275,27908,2013-05-28,Adriana,Sanchez
276,14181,2013-06-28,Adriana,Chandra
277,18702,2013-02-25,Adriana,Smith
278,18702,2013-02-25,Adriana,Smith
279,14181,2013-01-27,Adriana,Chandra
280,20871,2013-03-31,Adriana,Arthur
281,20871,2013-03-31,Adriana,Arthur
282,20871,2013-03-31,Adriana,Arthur
283,20871,2013-03-31,Adriana,Arthur
284,14181,2013-01-27,Adriana,Chandra
285,16405,2013-02-13,Adriana,Sai
286,16405,2013-02-13,Adriana,Sai
287,22705,2013-02-11,Adriana,Kapoor
288,22705,2013-02-11,Adriana,Kapoor
289,12300,2013-03-09,Adriana,Gonzalez
290,23500,2013-06-03,Adriana,Garcia
291,23500,2013-06-03,Adriana,Garcia
292,14181,2013-01-27,Adriana,Chandra
293,12002,2013-04-09,Adriana,Lopez
294,12002,2013-04-09,Adriana,Lopez
295,12002,2013-04-09,Adriana,Lopez
296,12300,2013-03-09,Adriana,Gonzalez
297,20050,2013-02-01,Adriana,Prasad
298,20050,2013-02-01,Adriana,Prasad
299,12300,2013-05-19,Adriana,Gonzalez
